"","carat","cut","color","clarity","depth","table","price","x","y","z"
"2498",0.7,"Ideal","D","VS1",61.1,57,3278,5.73,5.75,3.51
"2499",0.76,"Ideal","E","VS2",61.5,56,3192,5.92,5.89,3.63
"2500",0.92,"Premium","G","SI2",62.3,59,3318,6.2,6.15,3.85
"2501",0.35,"Ideal","H","VS2",61.2,56,571,4.54,4.55,2.78
"2502",0.71,"Premium","F","VS1",61.1,58,2942,5.76,5.72,3.51
"2503",0.82,"Premium","F","SI1",62.4,56,2962,6.01,5.98,3.74
"2504",0.77,"Ideal","F","VS1",62.1,57,3387,5.88,5.84,3.64
"2505",0.31,"Good","J","SI2",63.3,58,335,4.34,4.35,2.75
"2506",0.75,"Fair","E","VS2",56,67,2940,6.18,6.08,3.43
"2507",0.7,"Premium","F","VS2",59.4,61,2838,5.83,5.79,3.45
"2508",0.61,"Ideal","F","VVS2",61.1,57,3248,5.47,5.49,3.34
"2509",0.92,"Very Good","J","SI2",58.7,61,2880,6.34,6.43,3.75
"2510",0.71,"Premium","F","VS1",61.8,59,2765,5.69,5.73,3.53
"2511",0.92,"Premium","D","SI2",62.5,59,3550,6.24,6.2,3.89
"2512",0.8,"Premium","F","SI2",61.7,58,2762,5.98,5.94,3.68
"2513",0.9,"Ideal","F","SI2",62.6,57,3704,6.2,6.13,3.86
"2514",0.7,"Ideal","G","VS1",61.4,55,3206,5.71,5.76,3.53
"2515",0.9,"Premium","I","VS2",61.8,59,3398,6.15,6.21,3.82
"2516",0.7,"Good","E","SI1",61.4,64,2822,5.71,5.66,3.49
"2517",1,"Very Good","I","SI1",59.3,63,3360,6.52,6.47,3.85
"2518",0.31,"Very Good","D","SI1",63,54,571,4.32,4.35,2.73
"2519",0.71,"Ideal","E","VS1",59.7,57,3272,5.84,5.86,3.49
"2520",0.77,"Very Good","H","VS1",61,60,2840,5.9,5.87,3.59
"2521",0.9,"Fair","H","VS2",64.7,58,3697,5.98,6.01,3.88
"2522",0.3,"Ideal","H","SI1",61.6,57,572,4.28,4.32,2.65
"2523",0.71,"Ideal","E","VS2",59.5,57,2982,5.86,5.83,3.48
"2524",1.02,"Premium","E","I1",60.4,62,3519,6.52,6.47,3.92
"2525",0.38,"Very Good","J","VS2",60.5,60,566,4.64,4.68,2.82
"2526",0.79,"Very Good","E","VS2",62.7,56,3539,5.85,5.88,3.68
"2527",0.71,"Good","F","VS2",57.8,60,2777,5.87,5.9,3.4
"2528",0.79,"Ideal","H","VVS1",62,56,3675,5.92,5.96,3.68
"2529",1,"Fair","H","SI2",67,55,2912,6.25,6.12,4.16
"2530",0.9,"Very Good","E","SI2",63.4,60,3342,6.07,6.02,3.83
"2531",0.7,"Ideal","D","VS2",61.4,55,3360,5.71,5.75,3.52
"2532",1.05,"Premium","G","SI2",60.7,61,3599,6.56,6.52,3.97
"2533",0.7,"Ideal","F","VVS2",62,55,3191,5.71,5.67,3.53
"2534",1.04,"Ideal","H","SI2",62,57,3669,6.53,6.43,4.02
"2535",0.9,"Very Good","J","VS2",63.1,59,3024,6.09,6.05,3.83
"2536",0.8,"Ideal","D","SI2",61.9,54,3154,6,5.95,3.7
"2537",0.72,"Ideal","D","VS2",61.8,57,3099,5.76,5.73,3.55
"2538",0.71,"Ideal","E","VS2",60.3,56,3217,5.8,5.84,3.51
"2539",1.11,"Premium","H","SI2",60.4,59,3605,6.7,6.64,4.03
"2540",0.74,"Ideal","I","VVS2",62.3,55,2761,5.77,5.81,3.61
"2541",0.31,"Premium","D","SI1",62,58,571,4.3,4.35,2.68
"2542",0.32,"Premium","G","VS2",61.7,60,561,4.32,4.4,2.69
"2543",0.71,"Premium","F","VS1",61.8,59,2790,5.73,5.69,3.53
"2544",0.72,"Ideal","F","VS2",61.3,56,3151,5.78,5.8,3.55
"2545",0.54,"Ideal","F","VVS1",61.6,55,2977,5.28,5.27,3.25
"2546",0.72,"Very Good","F","VS1",63.3,57,3219,5.68,5.75,3.62
"2547",1.15,"Very Good","G","I1",61.2,58,3510,6.74,6.8,4.14
"2548",0.91,"Fair","D","SI1",65.2,57,3730,6.08,6.04,3.95
"2549",0.71,"Good","F","VS2",57.8,60,2801,5.9,5.87,3.4
"2550",0.91,"Fair","D","SI2",62.5,66,3079,6.08,6.01,3.78
"2551",1.01,"Very Good","H","SI2",63.5,55,3032,6.32,6.27,4
"2552",0.8,"Ideal","F","SI1",60.1,60,3293,5.98,6.03,3.61
"2553",0.31,"Ideal","D","SI1",62.6,56,571,4.33,4.36,2.72
"2554",0.91,"Ideal","H","SI1",62.4,57,3635,6.18,6.23,3.87
"2555",0.91,"Very Good","F","SI2",61.6,59,3653,6.14,6.24,3.81
"2556",0.52,"Ideal","D","VVS1",60.9,56,3321,5.2,5.24,3.18
"2557",0.71,"Very Good","H","VVS1",62.7,59,2938,5.65,5.67,3.55
"2558",1.03,"Ideal","H","SI2",62.4,57,3172,6.43,6.36,4
"2559",0.71,"Premium","D","VS2",59.2,59,3161,5.86,5.8,3.45
"2560",0.81,"Very Good","E","SI1",63.8,58,2972,5.85,5.97,3.77
"2561",0.31,"Ideal","G","VS2",62.2,54,562,4.34,4.38,2.71
"2562",0.79,"Very Good","F","SI1",62.8,59,2878,5.86,5.89,3.69
"2563",0.9,"Very Good","G","SI1",63,57,3681,6.13,6.19,3.88
"2564",0.81,"Ideal","F","SI2",62.1,57,2843,5.91,5.95,3.68
"2565",0.81,"Very Good","G","VS1",63.1,58,3507,5.92,5.96,3.75
"2566",0.93,"Very Good","J","VS2",63.3,61,3208,6.19,6.14,3.9
"2567",0.32,"Ideal","E","SI1",61.9,55,559,4.4,4.43,2.73
"2568",0.79,"Ideal","G","SI1",62.3,57,2898,5.9,5.85,3.66
"2569",1.01,"Fair","G","SI2",67.1,59,2942,6.27,6.19,4.18
"2570",0.7,"Ideal","F","VS2",61.9,55,3011,5.7,5.74,3.54
"2571",0.71,"Ideal","E","VS2",62.7,56,2891,5.71,5.75,3.59
"2572",0.39,"Very Good","H","SI2",62.4,59,562,4.58,4.65,2.88
"2573",0.9,"Good","E","SI1",63.8,56,3510,6.09,6.17,3.91
"2574",0.93,"Premium","J","VS1",60.3,58,3062,6.37,6.31,3.82
"2575",1,"Good","H","SI2",63.8,57,3640,6.32,6.28,4.02
"2576",1.02,"Fair","I","SI1",53,63,2856,6.84,6.77,3.66
"2577",0.72,"Good","E","VS2",60.8,62,3140,5.73,5.78,3.5
"2578",0.72,"Good","D","VS1",63.3,55,3570,5.69,5.75,3.62
"2579",1,"Very Good","G","I1",62.5,62,3011,6.42,6.35,3.99
"2580",0.7,"Premium","D","VS2",60.9,57,2909,5.71,5.69,3.47
"2581",0.9,"Premium","G","SI2",59.5,61,3326,6.33,6.28,3.75
"2582",0.7,"Very Good","G","VVS1",63.1,56,3073,5.64,5.67,3.57
"2583",0.71,"Ideal","I","VS2",61.5,55,2878,5.76,5.78,3.55
"2584",0.9,"Premium","F","SI2",60.3,55,3704,6.35,6.28,3.81
"2585",0.91,"Very Good","J","SI1",62.8,59,2956,6.14,6.19,3.87
"2586",0.71,"Very Good","E","VS1",59.8,58,3112,5.78,5.82,3.47
"2587",0.9,"Very Good","F","SI1",63.1,58,3624,6.09,6.15,3.86
"2588",0.79,"Premium","G","VS2",59.3,62,2839,6.09,6.01,3.59
"2589",0.95,"Fair","G","SI1",66.7,56,2841,6.16,6.03,4.06
"2590",0.74,"Ideal","E","SI2",62.2,56,2761,5.8,5.84,3.62
"2591",0.71,"Ideal","D","SI1",61.4,56,3674,5.7,5.74,3.51
"2592",0.72,"Very Good","D","VS2",62.9,58,3493,5.67,5.71,3.58
"2593",0.32,"Very Good","H","VS1",62.9,54,561,4.37,4.41,2.76
"2594",0.8,"Ideal","F","SI2",61.8,59,3066,5.94,5.96,3.68
"2595",0.7,"Good","D","VS1",60.4,62,3463,5.73,5.76,3.47
"2596",0.72,"Ideal","H","IF",61.4,56,3257,5.76,5.8,3.55
"2597",0.76,"Premium","E","SI1",58.3,62,2937,6.12,5.95,3.52
"2598",0.7,"Premium","D","VS1",61.2,60,3425,5.69,5.71,3.49
"2599",0.7,"Very Good","E","VS1",61.3,60,2952,5.68,5.7,3.49
"2600",0.9,"Fair","F","SI1",66,57,3160,6.06,6,3.98
"2601",0.7,"Premium","F","VVS1",61.6,59,3504,5.71,5.76,3.53
"2602",0.72,"Premium","F","VVS2",61.6,59,3105,5.78,5.72,3.54
"2603",1.21,"Ideal","I","I1",61.3,57,3686,6.94,6.89,4.24
"2604",0.72,"Ideal","D","SI1",60.8,57,2782,5.76,5.75,3.5
"2605",0.29,"Premium","I","VS2",62.4,58,334,4.2,4.23,2.63
"2606",0.91,"Ideal","I","SI1",62.4,56,3574,6.2,6.24,3.88
"2607",1.02,"Very Good","J","SI2",62.6,60,3534,6.39,6.42,4.01
"2608",0.91,"Very Good","G","SI2",62.9,54,3615,6.14,6.22,3.89
"2609",0.9,"Very Good","H","SI1",62.6,58,3447,6.08,6.12,3.82
"2610",1.18,"Very Good","E","I1",59.9,63,3278,6.85,6.8,4.09
"2611",0.71,"Ideal","E","VS1",60.4,57,3464,5.75,5.81,3.49
"2612",0.72,"Ideal","E","SI1",60.3,57,2847,5.83,5.85,3.52
"2613",0.81,"Very Good","E","SI1",60.3,60,2797,6.07,6.1,3.67
"2614",0.9,"Ideal","G","SI2",62.5,55,3338,6.21,6.15,3.86
"2615",0.92,"Fair","H","SI2",64.5,60,3536,6.06,6.01,3.89
"2616",0.88,"Fair","F","SI1",56.6,65,2882,6.39,6.32,3.6
"2617",0.76,"Ideal","E","VS1",60.5,56,3649,5.94,5.99,3.61
"2618",0.7,"Ideal","E","SI1",61.6,56,2789,5.72,5.75,3.53
"2619",0.9,"Premium","H","SI1",62.4,56,3095,6.13,6.05,3.8
"2620",0.9,"Premium","D","SI2",58.1,60,3312,6.26,6.24,3.63
"2621",0.92,"Premium","I","VS1",61.4,58,3725,6.23,6.27,3.84
"2622",1.01,"Premium","J","VS2",62.4,60,3190,6.45,6.35,3.99
"2623",0.91,"Very Good","F","SI1",63.5,58,3195,6.15,6.1,3.89
"2624",0.3,"Ideal","G","SI2",60.6,56,405,4.35,4.4,2.65
"2625",0.57,"Ideal","F","VVS1",61.3,56,3343,5.4,5.37,3.3
"2626",0.7,"Very Good","F","VVS2",63.2,58,2932,5.66,5.6,3.56
"2627",0.27,"Very Good","G","VVS1",61,56,566,4.21,4.25,2.57
"2628",0.58,"Ideal","E","VVS2",60.9,56,2808,5.41,5.43,3.3
"2629",0.72,"Premium","E","SI1",62.1,58,2831,5.73,5.76,3.57
"2630",0.73,"Ideal","E","VS2",62.4,57,3201,5.75,5.79,3.6
"2631",1,"Premium","F","SI2",59.2,61,3562,6.59,6.51,3.87
"2632",0.74,"Very Good","D","SI1",63.9,57,2880,5.72,5.74,3.66
"2633",0.74,"Very Good","D","VS2",59.8,58,3476,5.9,5.94,3.54
"2634",0.83,"Ideal","H","VVS1",61.7,57,3570,6.02,6.07,3.73
"2635",0.69,"Very Good","G","VVS1",60.8,55,3323,5.74,5.77,3.5
"2636",0.73,"Very Good","E","VS2",61.5,58,3307,5.71,5.8,3.54
"2637",1.03,"Fair","H","SI1",65.1,57,3617,6.43,6.36,4.16
"2638",0.71,"Ideal","E","SI1",61.3,55,2792,5.72,5.77,3.52
"2639",0.7,"Premium","F","VS1",60.4,60,2879,5.73,5.7,3.45
"2640",0.71,"Premium","G","VVS2",62.1,57,2832,5.75,5.65,3.54
"2641",0.72,"Ideal","E","VS2",62.1,57,3235,5.73,5.76,3.57
"2642",0.31,"Very Good","D","SI1",62.9,57,571,4.27,4.32,2.7
"2643",0.9,"Ideal","G","SI2",61.5,57,3722,6.07,6.19,3.77
"2644",0.91,"Very Good","H","SI1",63.4,59,3710,6.12,6.09,3.87
"2645",0.72,"Ideal","H","VVS1",59.9,59,2979,5.76,5.82,3.47
"2646",0.54,"Ideal","D","VVS1",61.4,58,3139,5.28,5.25,3.23
"2647",0.91,"Good","G","SI1",64.3,60,3344,6.04,6.12,3.91
"2648",0.65,"Ideal","G","VVS1",61.9,56,3248,5.56,5.59,3.45
"2649",0.72,"Ideal","H","IF",62.1,58,3283,5.72,5.75,3.56
"2650",0.8,"Premium","F","SI1",62.7,58,2901,5.91,5.93,3.71
"2651",0.7,"Very Good","G","VS1",60.1,60,3017,5.73,5.76,3.45
"2652",1,"Very Good","I","SI2",60.8,63,3276,6.41,6.34,3.88
"2653",0.81,"Ideal","E","SI2",62.1,57,3050,5.97,5.91,3.69
"2654",0.78,"Ideal","E","VS2",62.1,54,3159,5.92,5.94,3.68
"2655",0.78,"Ideal","G","VS2",61.7,56,3613,5.89,5.94,3.65
"2656",0.7,"Ideal","D","VS1",61.7,57,3419,5.71,5.74,3.53
"2657",0.72,"Ideal","H","VS1",61.1,57,2961,5.8,5.82,3.55
"2658",0.9,"Very Good","H","SI2",63,55,3162,6.1,6.16,3.86
"2659",0.75,"Very Good","F","SI1",63.4,58,2811,5.72,5.76,3.64
"2660",0.86,"Good","F","SI2",64.3,60,2819,5.97,5.95,3.83
"2661",0.71,"Ideal","F","VS1",60.8,56,3710,5.81,5.82,3.54
"2662",1.02,"Very Good","H","SI2",63.4,63,3713,6.36,6.32,4.02
"2663",0.31,"Ideal","D","SI1",61.3,55,565,4.36,4.41,2.69
"2664",0.63,"Premium","E","VVS1",60.9,60,2765,5.52,5.55,3.37
"2665",0.54,"Ideal","E","VVS2",61.6,56,2776,5.25,5.27,3.24
"2666",0.72,"Ideal","E","VS2",61.5,56,3601,5.77,5.81,3.56
"2667",1.12,"Very Good","G","I1",61.2,63,3017,6.68,6.59,4.05
"2668",0.7,"Very Good","D","VS2",60.8,59,2928,5.67,5.71,3.46
"2669",0.83,"Ideal","E","SI2",61,57,3143,6.06,6.13,3.72
"2670",0.72,"Ideal","D","SI2",60.5,57,3176,5.82,5.89,3.54
"2671",0.27,"Very Good","G","VVS1",60.1,58,566,4.21,4.23,2.53
"2672",0.32,"Good","E","SI1",63.3,56,561,4.34,4.35,2.75
"2673",0.77,"Ideal","D","SI1",60.8,57,3251,5.94,5.9,3.6
"2674",0.71,"Ideal","E","VS2",62.2,56,3103,5.7,5.75,3.56
"2675",0.71,"Very Good","D","VS2",62.4,59,3217,5.68,5.73,3.56
"2676",0.7,"Good","D","VS2",64.1,59,3087,5.49,5.56,3.54
"2677",0.93,"Premium","J","VS2",62.3,60,3250,6.3,6.23,3.9
"2678",0.7,"Premium","D","VS1",60.6,58,3239,5.73,5.75,3.48
"2679",0.92,"Ideal","D","SI2",61.9,56,2840,6.27,6.2,3.86
"2680",0.78,"Premium","D","VS2",63,58,3473,5.86,5.8,3.67
"2681",0.8,"Premium","G","SI1",63,59,2760,5.9,5.81,3.69
"2682",0.3,"Good","H","SI1",63.7,57,554,4.28,4.26,2.72
"2683",0.7,"Ideal","G","VS2",62.7,54,3172,5.65,5.7,3.65
"2684",0.32,"Very Good","H","VS1",62.8,55,561,4.35,4.41,2.75
"2685",0.7,"Ideal","D","SI1",61.4,54,2822,5.75,5.71,3.52
"2686",0.73,"Ideal","G","VVS2",61.3,57,2869,5.84,5.81,3.57
"2687",0.79,"Very Good","E","SI1",60.4,59,3077,5.97,5.99,3.61
"2688",0.7,"Very Good","G","VVS1",63.3,57,3037,5.59,5.63,3.55
"2689",0.7,"Ideal","F","VS1",61.5,55,3319,5.73,5.75,3.53
"2690",0.77,"Premium","F","VS1",62.1,60,3343,5.82,5.77,3.6
"2691",1,"Fair","E","SI2",65.1,59,3575,6.3,6.23,4.08
"2692",0.91,"Good","E","SI2",63.9,61,3538,6.03,6.09,3.87
"2693",1.25,"Premium","F","I1",58,59,3724,7.12,7.05,4.11
"2694",0.9,"Fair","E","SI2",64.5,55,3084,6.12,6.03,3.92
"2695",0.64,"Ideal","F","VVS2",61,56,3336,5.55,5.59,3.4
"2696",0.9,"Ideal","I","VS1",61.6,56,3677,6.22,6.16,3.81
"2697",0.76,"Ideal","G","VS1",59.4,57,2972,5.99,6.03,3.57
"2698",0.32,"Premium","H","VS1",62.3,58,561,4.34,4.39,2.72
"2699",0.91,"Very Good","E","SI2",58.6,63,3015,6.32,6.38,3.72
"2700",0.82,"Ideal","F","SI2",62.4,54,2799,5.97,6.02,3.74
"2701",1.01,"Fair","F","SI2",64.8,55,3477,6.37,6.26,4.1
"2702",0.32,"Very Good","H","VS1",63,57,561,4.32,4.35,2.73
"2703",1.11,"Premium","D","I1",61.9,58,3655,6.66,6.63,4.11
"2704",0.71,"Ideal","D","VS1",62.2,55,3192,5.71,5.74,3.56
"2705",0.72,"Ideal","E","VS2",61.1,56,3601,5.78,5.81,3.54
"2706",0.71,"Very Good","H","IF",63,57,3112,5.63,5.7,3.57
"2707",0.72,"Premium","F","VS1",62.2,58,2829,5.75,5.7,3.56
"2708",0.83,"Premium","D","SI1",61.3,58,2990,6.03,6,3.69
"2709",1.01,"Very Good","J","VS2",63.3,54,3620,6.42,6.34,4.04
"2710",0.74,"Ideal","G","VS1",61.5,56,3572,5.79,5.82,3.57
"2711",0.9,"Fair","H","SI2",65.8,54,2823,6.05,5.98,3.96
"2712",0.78,"Very Good","F","SI1",62.4,58,3045,5.83,5.86,3.65
"2713",0.9,"Premium","J","VS2",59.8,62,2863,6.24,6.21,3.72
"2714",0.81,"Very Good","E","SI2",62.9,56,3059,5.87,5.9,3.7
"2715",0.73,"Premium","E","SI1",62.2,59,2821,5.77,5.68,3.56
"2716",0.76,"Very Good","F","VS2",62.5,58,3238,5.79,5.83,3.63
"2717",1.03,"Fair","J","SI2",64.6,62,3149,6.3,6.21,4.06
"2718",0.77,"Premium","F","SI1",60.8,59,2856,5.92,5.86,3.58
"2719",0.3,"Good","I","SI2",63.3,56,351,4.26,4.3,2.71
"2720",0.3,"Ideal","F","VS1",61.3,55,570,4.32,4.36,2.66
"2721",0.9,"Premium","F","SI2",61.5,59,3704,6.23,6.2,3.82
"2722",0.71,"Ideal","F","VVS2",61.2,55,3705,5.73,5.84,3.54
"2723",0.96,"Very Good","I","SI2",62.7,58,3286,6.2,6.24,3.9
"2724",0.7,"Good","D","VVS2",63.7,55,3312,5.66,5.61,3.59
"2725",0.7,"Good","E","VS1",57.2,59,2826,5.94,5.88,3.38
"2726",0.75,"Fair","D","SI2",64.6,57,2848,5.74,5.72,3.7
"2727",1.05,"Ideal","H","SI2",60.6,57,3234,6.59,6.55,3.98
"2728",0.9,"Very Good","E","SI2",59.5,61,3139,6.24,6.3,3.73
"2729",0.7,"Ideal","E","SI1",62.5,57,2757,5.7,5.72,3.57
"2730",0.75,"Ideal","H","SI1",60.4,57,2801,5.93,5.96,3.59
"2731",0.9,"Premium","G","SI1",60.6,62,2830,6.21,6.13,3.74
"2732",0.26,"Very Good","H","SI1",61.9,55,337,4.07,4.11,2.53
"2733",0.91,"Very Good","G","SI2",60,57,3531,6.27,6.32,3.78
"2734",0.91,"Ideal","I","VS1",62.5,55,3669,6.25,6.2,3.89
"2735",0.72,"Ideal","G","VS1",60.4,57,3478,5.81,5.84,3.52
"2736",1.01,"Fair","E","I1",64.5,58,2788,6.29,6.21,4.03
"2737",0.9,"Very Good","E","SI2",58.7,63,2930,6.23,6.2,3.65
"2738",0.79,"Very Good","E","SI1",63.7,58,3077,5.79,5.85,3.71
"2739",0.23,"Ideal","E","SI2",61.5,55,326,3.95,3.98,2.43
"2740",0.91,"Good","I","VS2",64.3,58,2863,6.05,6.09,3.9
"2741",0.79,"Ideal","I","VS1",61.8,59,2800,5.92,5.95,3.67
"2742",0.9,"Premium","I","VS1",62.2,58,3580,6.18,6.13,3.83
"2743",0.9,"Ideal","J","VS1",62.6,54,3656,6.15,6.18,3.86
"2744",0.74,"Ideal","G","SI1",61.3,57,3130,5.81,5.83,3.57
"2745",0.33,"Premium","J","VS1",61.5,61,557,4.46,4.39,2.72
"2746",1.01,"Premium","H","SI1",62.9,58,3224,6.38,6.34,4
"2747",0.72,"Ideal","E","VS2",62,56,2962,5.73,5.76,3.56
"2748",1.01,"Ideal","J","SI1",62.1,54,3207,6.48,6.4,4
"2749",0.32,"Premium","G","VS2",61,59,561,4.42,4.46,2.71
"2750",0.71,"Premium","E","VS2",62.3,58,2817,5.69,5.65,3.53
"2751",0.55,"Good","D","IF",58,62,3509,5.31,5.41,3.12
"2752",0.71,"Premium","F","VS2",62.8,57,2801,5.69,5.64,3.56
"2753",0.65,"Very Good","D","VVS2",57.7,60,3025,5.69,5.74,3.3
"2754",0.89,"Ideal","E","SI2",62.4,56,3429,6.04,6.08,3.78
"2755",0.82,"Ideal","F","SI2",62.3,56,2867,6.02,5.96,3.73
"2756",0.86,"Very Good","H","SI1",59.7,59,3228,6.14,6.23,3.69
"2757",0.81,"Good","G","VS2",62.9,58,3250,5.88,5.94,3.72
"2758",0.77,"Premium","E","SI1",59.8,61,2889,5.99,5.95,3.57
"2759",0.9,"Very Good","J","VS1",60.4,58,3358,6.22,6.27,3.77
"2760",0.7,"Good","F","VVS1",59.9,62,3206,5.69,5.74,3.42
"2761",0.33,"Ideal","I","SI2",61.2,56,403,4.49,4.5,2.75
"2762",1.1,"Premium","I","SI2",62.9,59,3604,6.6,6.53,4.13
"2763",0.9,"Good","G","SI2",58.5,61,3350,6.28,6.33,3.69
"2764",0.9,"Good","E","SI2",59.9,61,3660,6.16,6.2,3.7
"2765",0.33,"Premium","I","SI1",61.4,58,572,4.5,4.46,2.75
"2766",0.9,"Very Good","G","SI2",59.9,60,3581,6.19,6.23,3.72
"2767",0.71,"Good","F","IF",62.1,62,3393,5.68,5.79,3.56
"2768",0.91,"Very Good","H","SI1",62.2,60,3734,6.16,6.22,3.85
"2769",0.92,"Fair","F","SI2",65.3,58,3282,6.08,6.04,3.96
"2770",0.7,"Very Good","G","VVS1",62.8,56,3276,5.63,5.67,3.55
"2771",0.78,"Very Good","D","VS2",59.8,60,3672,5.97,6.03,3.59
"2772",0.7,"Premium","G","IF",60,59,3447,5.75,5.79,3.46
"2773",0.75,"Good","E","VS1",63.1,55,3231,5.8,5.83,3.67
"2774",0.84,"Ideal","G","SI2",61,56,2879,6.13,6.1,3.73
"2775",0.9,"Premium","F","SI2",61.5,61,3507,6.1,6.06,3.74
"2776",0.42,"Premium","I","SI2",61.5,59,552,4.78,4.84,2.96
"2777",0.72,"Very Good","F","VS1",60.2,59,2846,5.79,5.84,3.5
"2778",0.82,"Ideal","F","SI2",62.3,56,2841,5.96,6.02,3.73
"2779",0.75,"Ideal","D","SI1",61.1,56,3712,5.85,5.9,3.59
"2780",0.8,"Ideal","E","VS2",62.2,57,3648,5.95,5.98,3.71
"2781",1.03,"Very Good","F","SI2",63.3,59,3692,6.35,6.32,4.01
"2782",1.01,"Good","I","VS2",63.6,57,3620,6.3,6.21,3.98
"2783",0.73,"Good","F","VVS2",58.2,63,3166,5.87,6.01,3.46
"2784",0.71,"Premium","F","VS1",59.1,59,2920,5.88,5.83,3.46
"2785",0.36,"Ideal","G","SI2",61.8,56,565,4.58,4.61,2.84
"2786",0.71,"Ideal","F","VS1",61.7,55,3041,5.73,5.77,3.55
"2787",0.7,"Ideal","H","VVS2",61.8,55,3325,5.69,5.74,3.53
"2788",0.9,"Fair","D","SI2",64.5,61,3473,6.1,6,3.9
"2789",0.9,"Good","D","SI2",60.3,64,3534,6.1,6.14,3.69
"2790",0.81,"Ideal","H","VVS2",62,57,3497,5.93,5.97,3.69
"2791",1,"Ideal","I","SI2",62.5,56,3276,6.38,6.35,3.98
"2792",0.7,"Very Good","F","VS1",62.8,59,3053,5.65,5.69,3.56
"2793",0.72,"Premium","E","VS2",60.4,61,3024,5.79,5.76,3.49
"2794",0.71,"Ideal","D","VS2",62.4,56,3372,5.74,5.7,3.57
"2795",0.78,"Very Good","D","VS2",62.2,56,3668,5.85,5.91,3.66
"2796",0.9,"Premium","I","SI2",62.2,59,2826,6.11,6.07,3.79
"2797",0.73,"Ideal","G","VVS2",61.9,56,3127,5.81,5.75,3.58
"2798",0.71,"Ideal","H","VVS1",60.4,57,2867,5.78,5.81,3.5
"2799",0.75,"Ideal","F","VS2",62.5,57,2893,5.78,5.83,3.63
"2800",0.75,"Premium","F","SI1",61.4,59,2782,5.88,5.85,3.6
"2801",1.11,"Premium","I","I1",61.8,59,3183,6.65,6.58,4.09
"2802",0.7,"Very Good","E","VS1",62.8,57,3145,5.65,5.68,3.56
"2803",0.9,"Good","E","SI2",62.1,63,3724,6.09,6.12,3.79
"2804",0.76,"Very Good","E","VS2",61,58,3111,5.88,5.93,3.6
"2805",0.7,"Ideal","G","VVS2",61,56,3205,5.74,5.77,3.51
"2806",0.95,"Very Good","J","VS2",63.5,56,3314,6.24,6.27,3.97
"2807",0.91,"Ideal","G","SI2",61.8,56,3557,6.21,6.24,3.85
"2808",0.71,"Ideal","E","VS2",62.1,55,3304,5.72,5.75,3.56
"2809",0.52,"Ideal","D","VVS1",62,57,3218,5.15,5.17,3.2
"2810",0.8,"Premium","D","SI1",59.4,55,3226,6.06,6.02,3.59
"2811",0.7,"Ideal","E","VS2",62.1,55,2777,5.7,5.67,3.53
"2812",0.86,"Premium","F","SI1",62.6,58,3372,6.01,6.06,3.78
"2813",0.81,"Good","D","SI1",64.1,54,3324,5.92,5.96,3.81
"2814",1,"Good","J","SI1",59.5,61,3616,6.46,6.52,3.86
"2815",0.84,"Ideal","I","VS2",61.7,55,3475,6.07,6.11,3.76
"2816",1,"Fair","J","SI1",64.9,58,3427,6.29,6.23,4.06
"2817",0.31,"Premium","H","SI1",61.7,59,558,4.39,4.36,2.7
"2818",0.77,"Ideal","G","SI1",61.5,56,3253,5.89,5.92,3.63
"2819",0.9,"Very Good","H","SI2",62.3,61,3481,6.15,6.17,3.84
"2820",0.7,"Very Good","E","VS1",61.1,55,3061,5.72,5.77,3.51
"2821",0.9,"Good","H","SI2",64.5,58,3627,6,5.96,3.86
"2822",0.91,"Premium","E","SI2",61.1,59,3639,6.24,6.2,3.8
"2823",1.27,"Very Good","I","I1",60.2,62,3665,7,7.05,4.23
"2824",0.79,"Ideal","H","VVS2",62,55.9,3324,5.88,5.95,3.67
"2825",0.31,"Ideal","J","SI2",62.2,54,344,4.35,4.37,2.71
"2826",1.14,"Ideal","J","SI1",60.2,57,3045,6.81,6.71,4.07
"2827",0.82,"Good","G","SI2",59.9,62,2893,6.02,6.04,3.61
"2828",0.9,"Fair","D","SI1",64.8,59,3689,6.1,6.03,3.93
"2829",0.8,"Very Good","E","SI1",62.9,60,3146,5.87,5.89,3.7
"2830",0.79,"Ideal","G","SI1",62.3,57,2898,5.9,5.85,3.66
"2831",0.36,"Ideal","H","VS2",62.1,55,568,4.57,4.61,2.85
"2832",0.3,"Very Good","I","SI1",62.6,57,405,4.25,4.28,2.67
"2833",0.7,"Very Good","D","VS1",62.7,58,2777,5.66,5.73,3.57
"2834",0.73,"Ideal","D","VS1",61.1,57,3509,5.85,5.81,3.56
"2835",1,"Premium","E","SI2",62.9,61,3450,6.3,6.23,3.94
"2836",0.74,"Ideal","G","VVS2",60.9,58,3495,5.85,5.88,3.57
"2837",0.71,"Very Good","E","VS1",62.1,57,3009,5.67,5.69,3.53
"2838",0.72,"Premium","E","VS2",61.1,59,2903,5.8,5.75,3.53
"2839",0.76,"Premium","E","VS2",60.1,59,3192,6.01,5.97,3.6
"2840",0.8,"Premium","F","SI1",60.1,58,3082,6.07,6.05,3.64
"2841",0.7,"Ideal","F","VS1",61.7,55,3154,5.72,5.76,3.54
"2842",0.31,"Ideal","E","SI2",61.3,55,558,4.37,4.34,2.67
"2843",0.71,"Very Good","F","VS1",62.9,55,3175,5.68,5.71,3.58
"2844",0.25,"Very Good","G","VS2",63,54,407,4.04,4.06,2.55
